id,name,position,position_group,roster_year,roster_year_label,height,weight,status,transfer_origin,transfer_rating,transfer_stars,transfer_date,transfer_eligibility
5226687,Lamont Lester Jr.,DL,DL,3,Roster year 3,74,230,transfer_in,Monmouth,0.86,3,2026-01-04T05:54:00.000Z,Immediate
5230274,Titus Bautista,RB,RB,3,Roster year 3,70,185,returning,,,,,
5230276,Bo LaPenna,LB,LB,4,Roster year 4,73,235,returning,,,,,
5239157,Quentin Gibson,WR,WR,2,Roster year 2,69,155,returning,,,,,
5259971,Zach Atkins,TE,TE,4,Roster year 4,76,240,returning,,,,,
5261384,Xavier Payne,OL,OL,1,Roster year 1,79,320,new_other,,,,,
5269133,Jacob Swain,WR,WR,1,Roster year 1,73,185,new_other,,,,,
5276171,Carson Crawford,LB,LB,1,Roster year 1,76,220,new_other,,,,,
5280400,Alex Ward,WR,WR,1,Roster year 1,73,180,new_other,,,,,
5281120,Braylon Edwards,DB,DB,1,Roster year 1,71,180,new_other,,,,,
5282589,Josiah Manu,DL,DL,1,Roster year 1,77,295,new_other,,,,,
5290698,Colby Johnson,LB,LB,1,Roster year 1,74,195,new_other,,,,,
5291876,Mojo Williams Jr.,DB,DB,1,Roster year 1,71,170,new_other,,,,,
5295612,Elliot Arnold,PK,ST,2,Roster year 2,70,165,returning,,,,,
5295617,Hudson Steber,OL,OL,2,Roster year 2,75,270,returning,,,,,
5301028,JaQuail Smith,RB,RB,2,Roster year 2,71,170,transfer_in,Sacramento State,0.85,3,2026-01-04T18:17:00.000Z,Immediate
5310446,Leonardo Valle,RB,RB,2,Roster year 2,73,210,new_other,,,,,
5390471,Cam Netwon,RB,RB,1,Roster year 1,69,185,new_other,,,,,
5390472,Drew Molinari,DB,DB,3,Roster year 3,73,195,new_other,,,,,
5390473,Donavon Stephens,DB,DB,2,Roster year 2,70,170,new_other,,,,,
5390474,Cadel Ayala,PK,ST,2,Roster year 2,73,185,new_other,,,,,
5390476,Cody Jordan,RB,RB,1,Roster year 1,69,185,new_other,,,,,
5390477,Trey Young,LS,ST,2,Roster year 2,70,195,new_other,,,,,
5390478,Nelson Williams,LS,ST,1,Roster year 1,75,235,new_other,,,,,
5390479,Braedon Brenner,WR,WR,1,Roster year 1,71,180,new_other,,,,,
5390480,Malachi Brown,DL,DL,4,Roster year 4,77,300,new_other,,,,,
