id,name,position,position_group,roster_year,roster_year_label,height,weight,status,transfer_origin,transfer_rating,transfer_stars,transfer_date,transfer_eligibility
5326469,Gavin Beachner,OL,OL,1,Roster year 1,78,324,new_other,,,,,
5327237,Chris Stewart,DE,DL,1,Roster year 1,75,230,new_other,,,,,
5327555,Trevon Collard,S,DB,1,Roster year 1,72,170,new_other,,,,,
5394435,Justyce Betts,LB,LB,2,Roster year 2,71,220,new_other,,,,,
5394436,Kordell Gouldsby,WR,WR,3,Roster year 3,69,170,new_other,,,,,
5394437,Teegan Haines,LB,LB,3,Roster year 3,75,210,new_other,,,,,
5394438,Jermar McCarter,LB,LB,3,Roster year 3,73,210,new_other,,,,,
5394439,KJ Burley,DE,DL,2,Roster year 2,75,245,new_other,,,,,
5394440,Keegan McCue,S,DB,1,Roster year 1,70,170,new_other,,,,,
5394441,Dieter Kelly,PK,ST,3,Roster year 3,71,200,new_other,,,,,
5394442,Tanner Holt,P,ST,1,Roster year 1,72,175,new_other,,,,,
5394443,Enese Tonga,TE,TE,2,Roster year 2,76,250,new_other,,,,,
5394444,Cody Haworth,DE,DL,1,Roster year 1,76,235,new_other,,,,,
5394445,Tre Johnson,CB,DB,1,Roster year 1,75,160,new_other,,,,,
5394446,Alex Poholik,C,OL,2,Roster year 2,74,300,new_other,,,,,
5394447,Michael Dersa,TE,TE,1,Roster year 1,77,215,new_other,,,,,
5394448,Jayden Aswell,DL,DL,3,Roster year 3,77,274,new_other,,,,,
