week,gameId,opponent,perspective,metric,actual,expectedLOO,poe,supported
1,401752802,Michigan State,offense,successRate,0.24528301886792453,0.42854531316974664,-0.18326229430182212,True
1,401752802,Michigan State,defense,successRate,0.484375,0.3918165139767509,-0.09255848602324912,True
1,401752802,Michigan State,offense,rushSuccessRate,0.21052631578947367,0.4514898219442619,-0.24096350615478823,True
1,401752802,Michigan State,defense,rushSuccessRate,0.45,0.41484692379262833,-0.03515307620737168,True
1,401752802,Michigan State,offense,passSuccessRate,0.2647058823529412,0.39857873055576176,-0.13387284820282058,True
1,401752802,Michigan State,defense,passSuccessRate,0.5416666666666666,0.3761853454216369,-0.16548132124502973,True
1,401752802,Michigan State,offense,explosivePlayRate,0.09433962264150944,0.10630718213997167,-0.011967559498462232,True
1,401752802,Michigan State,defense,explosivePlayRate,0.125,0.10746160276382086,-0.017538397236179143,True
1,401752802,Michigan State,offense,yardsPerPlay,2.857142857142857,5.292307450798101,-2.435164593655244,True
1,401752802,Michigan State,defense,yardsPerPlay,5.656716417910448,5.548371217234919,-0.10834520067552855,True
2,401762461,North Texas,offense,successRate,0.3695652173913043,0.45328405658525417,-0.08371883919394985,True
2,401762461,North Texas,defense,successRate,0.44155844155844154,0.47127649490212165,0.029718053343680106,True
2,401762461,North Texas,offense,rushSuccessRate,0.3972602739726027,0.5110706928912542,-0.11381041891865146,True
2,401762461,North Texas,defense,rushSuccessRate,0.5882352941176471,0.4574960709097442,-0.13073922320790288,True
2,401762461,North Texas,offense,passSuccessRate,0.2631578947368421,0.3797124021820972,-0.11655450744525508,True
2,401762461,North Texas,defense,passSuccessRate,0.32558139534883723,0.46101138601697444,0.1354299906681372,True
2,401762461,North Texas,offense,explosivePlayRate,0.07608695652173914,0.11764870035107389,-0.04156174382933475,True
2,401762461,North Texas,defense,explosivePlayRate,0.19480519480519481,0.12329041831526909,-0.07151477648992573,True
2,401762461,North Texas,offense,yardsPerPlay,4.021739130434782,5.6229908231125005,-1.6012516926777183,True
2,401762461,North Texas,defense,yardsPerPlay,6.5256410256410255,7.077161172847512,0.5515201472064861,True
3,401752829,Illinois,offense,successRate,0.27586206896551724,0.4304919557768217,-0.15462988681130446,True
3,401752829,Illinois,defense,successRate,0.5409836065573771,0.44052858751557145,-0.10045501904180565,True
3,401752829,Illinois,offense,rushSuccessRate,0.25806451612903225,0.43194374115358614,-0.17387922502455389,True
3,401752829,Illinois,defense,rushSuccessRate,0.6060606060606061,0.43413879458461657,-0.1719218114759895,True
3,401752829,Illinois,offense,passSuccessRate,0.2962962962962963,0.4260482637348324,-0.12975196743853612,True
3,401752829,Illinois,defense,passSuccessRate,0.4642857142857143,0.43256718660225063,-0.03171852768346367,True
3,401752829,Illinois,offense,explosivePlayRate,0.05172413793103448,0.08625972763186981,-0.03453558970083533,True
3,401752829,Illinois,defense,explosivePlayRate,0.13114754098360656,0.11484237246655449,-0.016305168517052077,True
3,401752829,Illinois,offense,yardsPerPlay,3.5172413793103448,4.238486223531507,-0.7212448442211623,True
