team,conference,field_pct,conference_champion_pct,bye_pct,at_large_pct,avg_seed_when_in_field,expected_wins,median_wins
Middle Tennessee,Conference USA,0.0,2.25,0.0,0.0,,2.95,3
Missouri State,Conference USA,0.0,0.0,0.0,0.0,,0.0,0
Navy,American Athletic,0.0,0.0,0.0,0.0,,3.35,3
New Mexico State,Conference USA,0.0,0.4,0.0,0.0,,1.96,2
North Dakota State,Mountain West,0.0,0.0,0.0,0.0,,0.0,0
Northwestern,Big Ten,0.0,0.0,0.0,0.0,,3.86,4
Oklahoma State,Big 12,0.0,0.0,0.0,0.0,,2.78,3
Purdue,Big Ten,0.0,0.0,0.0,0.0,,3.27,3
Rice,American Athletic,0.0,0.1,0.0,0.0,,2.89,3
Sacramento State,Mid-American,0.0,0.0,0.0,0.0,,0.0,0
Sam Houston,Conference USA,0.0,1.15,0.0,0.0,,2.46,2
San José State,Mountain West,0.0,3.8,0.0,0.0,,4.11,4
Stanford,ACC,0.0,0.0,0.0,0.0,,3.64,4
UAB,American Athletic,0.0,0.0,0.0,0.0,,3.01,3
UL Monroe,Sun Belt,0.0,0.3,0.0,0.0,,3.78,4
UTEP,Mountain West,0.0,2.3,0.0,0.0,,3.37,3
