bucket,n,predicted_avg,actual_rate
50-60%,51,0.5589053550503208,52.94117647058823
60-70%,40,0.6542268035295432,80.0
70-80%,44,0.7490496657743159,63.63636363636363
80-90%,63,0.8585995161615958,82.53968253968254
90-100%,114,0.9576421828751771,91.2280701754386
