definition_version,season,week,season_type,game_id,team,team_id,opponent,opponent_id,home_away,neutral_site,points_for,points_against,successRate_offense_actual,successRate_offense_expected,successRate_offense_poe,successRate_offense_subject_exposure,successRate_offense_opponent_exposure,successRate_offense_network_supported,successRate_defense_actual,successRate_defense_expected,successRate_defense_poe,successRate_defense_subject_exposure,successRate_defense_opponent_exposure,successRate_defense_network_supported,rushSuccessRate_offense_actual,rushSuccessRate_offense_expected,rushSuccessRate_offense_poe,rushSuccessRate_offense_subject_exposure,rushSuccessRate_offense_opponent_exposure,rushSuccessRate_offense_network_supported,rushSuccessRate_defense_actual,rushSuccessRate_defense_expected,rushSuccessRate_defense_poe,rushSuccessRate_defense_subject_exposure,rushSuccessRate_defense_opponent_exposure,rushSuccessRate_defense_network_supported,passSuccessRate_offense_actual,passSuccessRate_offense_expected,passSuccessRate_offense_poe,passSuccessRate_offense_subject_exposure,passSuccessRate_offense_opponent_exposure,passSuccessRate_offense_network_supported,passSuccessRate_defense_actual,passSuccessRate_defense_expected,passSuccessRate_defense_poe,passSuccessRate_defense_subject_exposure,passSuccessRate_defense_opponent_exposure,passSuccessRate_defense_network_supported,explosivePlayRate_offense_actual,explosivePlayRate_offense_expected,explosivePlayRate_offense_poe,explosivePlayRate_offense_subject_exposure,explosivePlayRate_offense_opponent_exposure,explosivePlayRate_offense_network_supported,explosivePlayRate_defense_actual,explosivePlayRate_defense_expected,explosivePlayRate_defense_poe,explosivePlayRate_defense_subject_exposure,explosivePlayRate_defense_opponent_exposure,explosivePlayRate_defense_network_supported,yardsPerPlay_offense_actual,yardsPerPlay_offense_expected,yardsPerPlay_offense_poe,yardsPerPlay_offense_subject_exposure,yardsPerPlay_offense_opponent_exposure,yardsPerPlay_offense_network_supported,yardsPerPlay_defense_actual,yardsPerPlay_defense_expected,yardsPerPlay_defense_poe,yardsPerPlay_defense_subject_exposure,yardsPerPlay_defense_opponent_exposure,yardsPerPlay_defense_network_supported
schedule-adjusted-game-analysis-v1,2025,1,postseason,401778331,Utah,254,Nebraska,158,home,True,44.0,22.0,0.5362318840579711,0.47716056310230504,0.05907132095566603,754.0,630.0,True,0.3968253968253968,0.42484596851195605,0.028020571686559248,719.0,662.0,True,0.5405405405405406,0.5065953969615593,0.03394514357898126,446.0,362.0,True,0.45454545454545453,0.4545759533068382,3.049876138366825e-05,381.0,331.0,True,0.53125,0.4174830673073852,0.11376693269261479,308.0,268.0,True,0.3333333333333333,0.3905580647019071,0.05722473136857381,338.0,331.0,True,0.14492753623188406,0.15715306460177322,-0.01222552836988916,754.0,630.0,True,0.14285714285714285,0.12163886102939518,-0.021218281827747668,720.0,662.0,True,7.45945945945946,6.689415623898867,0.7700438355605925,778.0,646.0,True,5.276923076923077,5.581908491294673,0.304985414371596,743.0,677.0,True
schedule-adjusted-game-analysis-v1,2025,1,regular,401752800,Utah,254,UCLA,26,away,False,43.0,10.0,0.6282051282051282,0.48713251000948965,0.14107261819563854,745.0,656.0,True,0.3469387755102041,0.41670092012055304,0.06976214461034896,733.0,634.0,True,0.5925925925925926,0.5200971152922375,0.0724954773003551,429.0,365.0,True,0.375,0.46082940715836057,0.08582940715836057,390.0,297.0,True,0.7083333333333334,0.42241360817907797,0.2859197251542554,316.0,291.0,True,0.32,0.3741703774319825,0.0541703774319825,343.0,337.0,True,0.08974358974358974,0.1492828137296515,-0.05953922398606175,745.0,656.0,True,0.061224489795918366,0.13135030611501058,0.07012581631909222,734.0,634.0,True,5.963414634146342,6.586606479625162,-0.6231918454788206,770.0,682.0,True,4.117647058823529,5.299684283107617,1.1820372242840884,757.0,665.0,True
schedule-adjusted-game-analysis-v1,2025,3,regular,401756895,Utah,254,Wyoming,2751,away,False,31.0,6.0,0.55,0.43289503009214003,0.11710496990786001,743.0,618.0,True,0.35185185185185186,0.3560037250166679,0.004151873164816022,728.0,632.0,True,0.6585365853658537,0.435114657385496,0.2234219279803577,442.0,345.0,True,0.3548387096774194,0.39716548970824667,0.04232678003082729,383.0,301.0,True,0.4358974358974359,0.4128016588965776,0.023095777000858297,301.0,273.0,True,0.34782608695652173,0.3477549683840123,-7.11185725094099e-05,345.0,331.0,True,0.15,0.1344564467464176,0.015543553253582393,743.0,618.0,True,0.12962962962962962,0.12071639215905589,-0.008913237470573737,729.0,632.0,True,6.567901234567901,6.533012674724542,0.03488855984335881,771.0,632.0,True,4.109090909090909,4.023177549744444,-0.08591335934646516,753.0,647.0,True
schedule-adjusted-game-analysis-v1,2025,4,regular,401756901,Utah,254,Texas Tech,2641,home,False,10.0,34.0,0.375,0.4027054930294057,-0.027705493029405726,759.0,737.0,True,0.391304347826087,0.3907832889212763,-0.0005210589048106895,713.0,861.0,True,0.42857142857142855,0.4122665421152676,0.01630488645616096,455.0,324.0,True,0.34285714285714286,0.42657467742439853,0.08371753456725567,379.0,447.0,True,0.3333333333333333,0.40268579621111616,-0.06935246287778285,304.0,413.0,True,0.4411764705882353,0.3592319520023526,-0.0819445185858827,334.0,414.0,True,0.015625,0.12448299102169619,-0.10885799102169619,759.0,737.0,True,0.15942028985507245,0.12899094843635575,-0.0304293414187167,714.0,861.0,True,4.073529411764706,5.548563032167736,-1.47503362040303,784.0,753.0,True,6.638888888888889,5.307889053129287,-1.3309998357596022,736.0,879.0,True
schedule-adjusted-game-analysis-v1,2025,5,regular,401756908,Utah,254,West Virginia,277,away,False,48.0,14.0,0.5205479452054794,0.45881072527357303,0.061737219931906395,750.0,681.0,True,0.3709677419354839,0.35805132464798495,-0.012916417287498927,720.0,664.0,True,0.38636363636363635,0.46218367980425124,-0.07582004344061488,439.0,351.0,True,0.43478260869565216,0.4106720522914254,-0.02411055640422677,368.0,374.0,True,0.7241379310344828,0.4291924672868647,0.29494546374761804,311.0,330.0,True,0.1875,0.32695829915784874,0.13945829915784874,352.0,290.0,True,0.1917808219178082,0.1300604346422439,0.06172038727556431,750.0,681.0,True,0.14516129032258066,0.1100338869137562,-0.03512740340882446,721.0,666.0,True,7.054054054054054,6.974176217236503,0.079877836817551,778.0,705.0,True,5.532258064516129,4.834722956115193,-0.6975351084009356,746.0,687.0,True
schedule-adjusted-game-analysis-v1,2025,7,regular,401756922,Utah,254,Arizona State,9,home,False,42.0,10.0,0.5,0.4722081662281406,0.027791833771859398,769.0,746.0,True,0.36363636363636365,0.38135395168807673,0.017717588051713085,705.0,752.0,True,0.5121951219512195,0.4857168157834937,0.02647830616772584,442.0,334.0,True,0.5294117647058824,0.41591250451153877,-0.11349926019434359,380.0,395.0,True,0.46153846153846156,0.445209251251419,0.01632921028704254,327.0,412.0,True,0.23255813953488372,0.3520251417904801,0.1194670022555964,325.0,357.0,True,0.2222222222222222,0.11168294473046884,0.11053927749175337,769.0,746.0,True,0.07792207792207792,0.1346992428358748,0.05677716491379689,706.0,752.0,True,7.660714285714286,6.100621656290492,1.560092629423794,796.0,765.0,True,3.3734939759036147,5.760752796983415,2.3872588210798007,725.0,767.0,True
schedule-adjusted-game-analysis-v1,2025,8,regular,401756924,Utah,254,BYU,252,away,False,21.0,24.0,0.4142857142857143,0.461971810076858,-0.04768609579114369,753.0,755.0,True,0.417910447761194,0.45080154518434407,0.03289109742315005,715.0,764.0,True,0.35294117647058826,0.47543464666716684,-0.12249347019657858,449.0,362.0,True,0.45,0.484500706808537,0.03450070680853701,374.0,412.0,True,0.4722222222222222,0.4241444017899241,0.048077820432298135,304.0,393.0,True,0.37037037037037035,0.40479426786639583,0.03442389749602548,341.0,352.0,True,0.15714285714285714,0.11292043407040146,0.04422242307245568,753.0,755.0,True,0.16417910447761194,0.133494965099672,-0.03068413937793993,716.0,766.0,True,6.314285714285714,6.189419023379817,0.12486669090589686,782.0,776.0,True,5.641791044776119,6.132424734875232,0.49063369009911284,741.0,784.0,True
schedule-adjusted-game-analysis-v1,2025,9,regular,401756934,Utah,254,Colorado,38,home,False,53.0,7.0,0.40298507462686567,0.5072052250324505,-0.1042201504055848,756.0,723.0,True,0.2711864406779661,0.34529645782238505,0.07411001714441895,723.0,685.0,True,0.4418604651162791,0.5141540384991463,-0.07229357338286724,440.0,432.0,True,0.2962962962962963,0.38626594908992423,0.08996965279362795,387.0,344.0,True,0.3333333333333333,0.47007091842363935,-0.13673758509030604,316.0,291.0,True,0.25,0.32243853405479983,0.07243853405479983,336.0,341.0,True,0.208955223880597,0.1640557349964138,0.044899488884183214,756.0,723.0,True,0.1016949152542373,0.11642184791745411,0.014726932663216813,724.0,685.0,True,7.185714285714286,7.353095205208227,-0.16738091949394107,782.0,732.0,True,2.338709677419355,5.148447784073668,2.8097381066543132,746.0,707.0,True
schedule-adjusted-game-analysis-v1,2025,10,regular,401756942,Utah,254,Cincinnati,2132,home,False,45.0,14.0,0.45569620253164556,0.5181961544845488,-0.062499951952903254,744.0,756.0,True,0.4166666666666667,0.41744167502300783,0.0007750083563411447,722.0,634.0,True,0.5102040816326531,0.5243356477398631,-0.014131566107210003,434.0,411.0,True,0.4827586206896552,0.45830035927648805,-0.02445826141316715,385.0,328.0,True,0.36666666666666664,0.48036100883600164,-0.113694342169335,310.0,345.0,True,0.3548387096774194,0.36863145485811766,0.013792745180698285,337.0,306.0,True,0.1518987341772152,0.1429986014574002,0.00890013271981499,744.0,756.0,True,0.16666666666666666,0.1329120025273124,-0.03375466413935427,723.0,634.0,True,5.853658536585366,7.127225423228625,-1.273566886643259,770.0,774.0,True,7.145161290322581,6.087963252334722,-1.0571980379878587,746.0,646.0,True
schedule-adjusted-game-analysis-v1,2025,12,regular,401756949,Utah,254,Baylor,239,away,False,55.0,28.0,0.5172413793103449,0.49591579597404145,0.02132558333630341,765.0,656.0,True,0.4090909090909091,0.4452727273444478,0.03618181825353867,694.0,690.0,True,0.55,0.49425466314738015,0.0557453368526199,443.0,377.0,True,0.36666666666666664,0.47906522355778763,0.112398556891121,384.0,290.0,True,0.4444444444444444,0.4612064720108264,-0.016762027566381954,322.0,279.0,True,0.43103448275862066,0.3984465947972501,-0.032587887961370576,310.0,400.0,True,0.15517241379310345,0.12662771038505163,0.02854470340805182,765.0,657.0,True,0.10112359550561797,0.12564663053139727,0.024523035025779294,694.0,690.0,True,8.186440677966102,6.424166787432053,1.7622738905340487,793.0,691.0,True,6.325842696629214,5.913682401914854,-0.41216029471435967,719.0,719.0,True
